"scenario","germplasm","grain_yield","test_weight","heading_time","plant_height","net_merit"
"ST_GBLUP_22.23","IL16LCSDH-01-T-863-52",98.4657139835053,61.0952148830405,133.451425769192,95.417139191544,611.465515827759
"ST_GBLUP_22.23","IL16LCSDH-01-T-863-53",88.9140399971522,60.859248556602,135.417587980147,97.69267516672,540.440869992583
"ST_GBLUP_22.23","IL16LCSDH-01-T-863-58",97.62083690999,62.8169523528465,132.340904519029,99.1307446843518,625.872792139207
"ST_GBLUP_22.23","IL16LCSDH-01-T-863-63",99.7972387825384,60.2982361409976,132.965833750111,96.6520903547188,615.937940033446
"ST_GBLUP_22.23","IL16LCSDH-01-T-863-69",95.0706897083708,60.2470392649752,132.695837706609,92.768366960843,588.400375181365
"ST_GBLUP_22.23","IL16LCSDH-01-T-863-87",100.318369540939,61.4900572570604,133.821665008744,99.7780776321453,623.933099708207
"ST_GBLUP_22.23","IL16LCSDH-01-T-863-92",95.3728267522508,61.5583946262521,133.859722553003,94.4948591452866,593.806206894891
"ST_GBLUP_22.23","IL16LCSDH-01-T-863-121",93.3872987690548,61.391143200848,133.634479673875,95.4865831513506,581.569794446692
"ST_GBLUP_22.23","IL16LCSDH-02-T-864-20",85.6664895194314,60.3796513081043,129.896483978828,98.5100524109186,547.82794855622
"ST_GBLUP_22.23","IL16LCSDH-02-T-864-24",90.7352282508387,61.2743750411281,130.575643738325,98.6171832851466,581.317064379795
"ST_GBLUP_22.23","IL16LCSDH-02-T-864-27",89.1334759648473,61.2447006135246,129.953569797437,95.3105292063449,574.711103466652
"ST_GBLUP_22.23","IL16LCSDH-02-T-864-29",96.3559598552507,59.6196485056926,130.56220685524,101.218667142175,603.132504156276
"ST_GBLUP_22.23","IL16LCSDH-02-T-864-37",93.4762331281603,60.8456969036181,130.677715922152,98.568540053027,594.370162955576
"ST_GBLUP_22.23","IL16LCSDH-02-T-864-38",95.5391634081433,60.0725777433419,130.633845304787,97.9647952213513,601.293710398613
"ST_GBLUP_22.23","IL16LCSDH-02-T-864-54",98.4490452389588,59.8110869408525,130.700110255435,96.7912536162049,616.447514453535
"ST_GBLUP_22.23","IL16LCSDH-02-T-864-59",101.095780984557,61.0339234358336,131.178657203492,100.437571760486,639.628220938394
"ST_GBLUP_22.23","IL16LCSDH-02-T-864-60",89.6754308649646,61.1539600627803,130.627642688443,98.6346378904985,573.661577721445
"ST_GBLUP_22.23","IL16LCSDH-02-T-864-63",98.643406094792,59.7905627515868,130.316081324288,97.694867137349,619.576969329349
"ST_GBLUP_22.23","IL16LCSDH-03-T-865-35",91.9450566868006,60.0955701760025,130.962990797191,94.9643660734964,577.931801155991
"ST_GBLUP_22.23","IL16LCSDH-03-T-865-36",91.8890658274627,62.2451186059476,130.374953793859,98.5502913462492,596.643250413248
"ST_GBLUP_22.23","IL16LCSDH-03-T-865-39",93.1210217633063,61.1877257354477,130.939117547999,96.5967870917287,593.306344876916
"ST_GBLUP_22.23","IL16LCSDH-03-T-865-40",91.4312896524191,60.5093229053352,130.85523543776,96.8505484914484,578.44867775862
"ST_GBLUP_22.23","IL16LCSDH-03-T-865-46",96.3621564888307,61.4001632794692,130.109809811512,94.0104905897656,619.394611746113
